School District,School,County,Type of Organization,Number of Outlets,Any Buildings with Lead-Free Plumbing?,Previously Sampled Outlets,Outlets Waiver Requested,Waivers Granted,Outlets Sampled After Regulation,Sampling Complete,Sampling Completion Date,"Number of Outlets, Result ≤ 15 ppb","Number of Outlets, Result > 15 ppb",Out of Service,All Results Received	,Date All Results Received,School Website	,BEDS Code,School Street ,School City,School State,School Zip Code,Date Sampling Updated,Date Results Updated,County Location,Location
BALLSTON SPA CENTRAL SCHOOL,WOOD ROAD INTERMEDIATE SCHOOL,Saratoga,Public School,141,No,0,0,0,141,Yes,09/24/2016,138,3,Yes,Yes,11/21/2016,http://www.bscsd.org,521301060006,300 WOOD RD,BALLSTON SPA,NY,12020,11/22/2016,11/22/2016,"(43.00894, -73.786779)","300 WOOD RD
BALLSTON SPA, NY 12020
(43.00239894300006, -73.86845053999997)"
CENTRAL ISLIP U F S,ANDREW T MORROW SCHOOL,Suffolk,Public School,57,No,53,0,0,0,Yes,07/12/2016,53,4,Yes,Yes,09/21/2016,http://www.centralislip.k12.ny.us,580513030007,299 SYCAMORE AVE,CENTRAL ISLIP,NY,11722,11/11/2016,11/11/2016,"(40.820237, -73.119032)","299 SYCAMORE AVE
CENTRAL ISLIP, NY 11722
(40.79952177000007, -73.17724168099994)"
BROCKPORT CENTRAL SCHOOL,BARCLAY ELEM SCHOOL,Monroe,Public School,75,No,73,0,0,0,Yes,05/21/2016,73,2,Yes,Yes,06/22/2016,http://www.brockport.k12.ny.us/district.cfm?subpage=29375,261801060004,40 ALLEN ST,BROCKPORT,NY,14420,11/09/2016,11/09/2016,"(43.161748, -77.620143)","40 ALLEN ST
BROCKPORT, NY 14420
(43.207029169000066, -77.94552806899998)"
ALBANY CITY SCHOOL DISTRICT,PHILIP SCHUYLER ACHIEVEMENT ACADEMY,Albany,Public School,37,No,0,0,0,37,Yes,09/24/2016,37,0,No,Yes,11/09/2016,http://www.albanyschools.com/,010100010043,676 CLINTON AVE,ALBANY,NY,12206,11/28/2016,11/28/2016,"(42.678066, -73.814233)","676 CLINTON AVE
ALBANY, NY 12206
(42.668564246000074, -73.77483581499996)"
EDEN CENTRAL SCHOOL,EDEN JR/SR HIGH SCHOOL,Erie,Public School,226,No,0,0,0,226,Yes,10/07/2016,142,79,Yes,Yes,11/14/2016,http://www.edencsd.org,141201060001,3000 SCHOOLVIEW ROAD,EDEN,NY,14057,11/15/2016,11/15/2016,"(42.888143, -78.795544)","3000 SCHOOLVIEW ROAD
EDEN, NY 14057
(42.65999640700005, -78.88514056099996)"
ARLINGTON CENTRAL SCHOOL DISTRICT,NOXON ROAD ES,Dutchess,Public School,97,No,0,0,0,97,Yes,09/27/2016,85,12,Yes,Yes,10/28/2016,http://www.arlingtonschools.org,131601060011,4 OLD NOXON RD,POUGHKEEPSIE,NY,12603,10/31/2016,10/31/2016,"(41.686216, -73.840468)","4 OLD NOXON RD
POUGHKEEPSIE, NY 12603
(41.64470231400003, -73.81469939899995)"
GARRISON UNION FREE SCHOOL,GARRISON SCHOOL,Putnam,Public School,59,No,6,0,0,59,Yes,11/29/2016,42,17,No,Yes,12/21/2016,http://www.gufs.org,480404020001,RT 9 D,GARRISON,NY,10524,01/17/2017,01/17/2017,"(41.41131, -73.717443)","9 D GARRISON
NY 10524
(41.38216103900004, -73.94732102799998)"
CHEEKTOWAGA CENTRAL SCHOOL,PINE HILL EDUCATION CENTER,Erie,Public School,61,No,0,0,0,61,Yes,09/29/2016,44,17,Yes,Yes,10/10/2016,http://www.cheektowagak12.org,140701060008,1635 E DELAVAN AVE,BUFFALO,NY,14215,11/09/2016,11/09/2016,"(42.888143, -78.795544)","1635 E DELAVAN AVE
BUFFALO, NY 14215
(42.922762488000046, -78.79605065999993)"
BOCES No District Name,ROCKLAND BOCES,Rockland,BOCES School,203,No,55,0,0,148,Yes,10/26/2016,200,3,Yes,Yes,10/26/2016,http://www.rocklandboces.org,509000000000,65 PARROTT RD,WEST NYACK,NY,10994,11/04/2016,11/04/2016,"(41.127287, -74.017033)","65 PARROTT RD WEST
NYACK, NY 10994
(41.12162235200003, -73.98097052199995)"
BOCES No District Name,WASHINGTON-SARATOGA-WARREN-HAMILTON-ESSEX BOCES,Washington,BOCES School,356,No,0,0,0,356,Yes,10/08/2016,351,67,Yes,Yes,12/09/2016,http://www.wswheboces.org,649000000000,1153 BURGOYNE AVE SUITE 2,FT EDWARD,NY,12828,10/19/2016,12/09/2016,"(43.289513, -73.454761)","1153 BURGOYNE AVE SUITE 2 FT
EDWARD, NY 12828
(43.28320612200008, -73.58107981999996)"
GREENBURGH-GRAHAM U F S,MARTIN LUTHER KING HIGH  SCHOOL,Westchester,Public School,,No,,,,,No,,,,No,No,,,660410020002,ONE S BROADWAY,HASTINGS-ON-HUDSON,NY,10706,,,"(41.039278, -73.805386)","ONE S BROADWAY
HASTINGS-ON-HUDSON, NY 10706
(40.97822588400004, -73.88032429899994)"
ALBANY CITY SCHOOL DISTRICT,NORTH ALBANY ACADEMY,Albany,Public School,49,No,0,0,0,49,Yes,09/28/2016,49,2,Yes,Yes,12/05/2016,http://www.albanyschools.com/,010100010020,570 N. PEARL ST,ALBANY,NY,12204,11/16/2016,12/07/2016,"(42.678066, -73.814233)","570 N PEARL ST
ALBANY, NY 12204
(42.67264485600003, -73.74000085099993)"
CENTRAL SQUARE CENTRAL SCHOOL,CENTRAL SQUARE INTERMEDIATE SCHOOL,Oswego,Public School,87,No,32,0,0,50,Yes,09/29/2016,75,12,Yes,Yes,10/20/2016,http://www.cssd.org/,460801060003,68 SCHOOL DR,CENTRAL SQUARE,NY,13036,11/08/2016,11/08/2016,"(43.39123, -76.31133)","68 SCHOOL DR CENTRAL SQUARE
NY 13036
(43.28321123100005, -76.14906924099995)"
ELMIRA HEIGHTS CENTRAL SCHOOL DISTRICT,COHEN MIDDLE SCHOOL,Chemung,Public School,16,No,0,0,0,16,Yes,10/05/2016,17,1,Yes,Yes,12/16/2016,http://heightsschools.com,070902060004,100 ROBINWOOD AVE,ELMIRA HEIGHTS,NY,14903,11/29/2016,12/23/2016,"(42.116644, -76.812331)","100 ROBINWOOD AVE ELMIRA HEIGHTS
NY 14903
(42.122963638000044, -76.83054824799996)"
FIRE ISLAND UNION FREE SCHOOL,WOODHULL SCHOOL,Suffolk,Public School,14,No,0,0,0,14,Yes,09/22/2016,14,0,No,Yes,09/26/2016,http://www.fi.k12.ny.us,580514020001,SURF RD,OCEAN BEACH,NY,11770,11/16/2016,11/16/2016,"(40.820237, -73.119032)","SURF RD OCEAN BEACH, NY 11770
(40.64774450200008, -73.15743548999995)"
CLARKSTOWN CENTRAL SCHOOL,LAUREL PLAINS ELEM SCHOOL,Rockland,Public School,101,No,0,87,0,14,Yes,09/30/2016,93,8,Yes,Yes,10/26/2016,http://ccsd.edu,500101060006,14 TEAKWOOD LANE,NEW CITY,NY,10956,11/10/2016,11/10/2016,"(41.127287, -74.017033)","14 TEAKWOOD LANE
NEW CITY, NY 10956
(41.12746819900008, -73.98521337999995)"
BOCES No District Name,GENESEE VALLEY BOCES SPECIAL EDUCATION,Livingston,BOCES School,75,No,0,0,0,75,Yes,09/23/2016,63,8,Yes,Yes,11/15/2016,http://www.gvboces.org,249000000010,8250 STATE ST RD,BATAVIA,NY,14020,12/07/2016,12/06/2016,"(42.763754, -77.765392)","8250 STATE ST RD
BATAVIA, NY 14020
(43.01462766000003, -78.18074240799996)"
BUFFALO CITY SCHOOLS,PS 48 AT 39 SCHOOL,Erie,Public School,129,No,0,0,0,129,Yes,09/24/2016,119,10,Yes,Yes,11/02/2016,http://www.buffaloschools.org,140600010048,487 HIGH ST,BUFFALO,NY,14211,01/20/2017,01/20/2017,"(42.888143, -78.795544)","487 HIGH ST
BUFFALO, NY 14211
(42.90015020200008, -78.85052831899998)"
BOCES No District Name,ONONDAGA-CORTLAND-MADISON BOCES - ALTERNATIVE HIGH SCHOOL AT HENRY,Onondaga,BOCES School,17,No,0,0,0,17,Yes,10/18/2016,17,0,Yes,Yes,12/15/2016,http://www.ocmboces.org/teacherpage.cfm?teacher=1493,429000000014,6820 THOMPSON RD,SYRACUSE,NY,13211,12/08/2016,12/15/2016,"(43.065629, -76.168033)","6820 THOMPSON RD
SYRACUSE, NY 13211
(43.100992408000025, -76.09626312799998)"
CARTHAGE CENTRAL SCHOOL,BLACK RIVER SCHOOL,Jefferson,Public School,148,No,92,0,0,56,Yes,10/05/2016,138,10,Yes,Yes,12/19/2016,http://www.carthagecsd.org/,222201060002,160 LERAY ST,BLACK RIVER,NY,13612,10/14/2016,12/21/2016,"(44.019295, -75.898971)","160 LERAY ST BLACK RIVER
NY 13612
(44.014945676000025, -75.79919772099998)"
CLARENCE CENTRAL SCHOOL,SHERIDAN HILL ES,Erie,Public School,97,No,0,0,0,97,Yes,09/21/2016,76,21,Yes,Yes,10/21/2016,http://www.clarenceschools.org/Page/3753,140801060005,4560 BONCREST DR E,WILLIAMSVILLE,NY,14221,12/05/2016,12/05/2016,"(42.888143, -78.795544)","4560 BONCREST DR E
WILLIAMSVILLE, NY 14221
(42.97212284100004, -78.66602954599995)"
BOCES No District Name,MADISON-ONEIDA BOCES,Madison,BOCES School,625,No,572,0,0,0,Yes,07/23/2016,572,53,Yes,Yes,09/08/2016,http://www.moboces.org,259000000000,4937 SPRING RD,VERONA,NY,13478,11/11/2016,11/11/2016,"(42.986917, -75.720031)","4937 SPRING RD
VERONA, NY 13478
(43.13802532600005, -75.56105154099998)"
ALBANY CITY SCHOOL DISTRICT,DELAWARE COMMUNITY SCHOOL,Albany,Public School,42,No,0,0,0,42,Yes,09/25/2016,42,0,No,Yes,11/14/2016,http://www.albanyschools.com/,010100010018,43 BERTHA ST,ALBANY,NY,12209,11/16/2016,11/16/2016,"(42.678066, -73.814233)","43 BERTHA ST
ALBANY, NY 12209
(42.64142595800007, -73.77894432099998)"
BATAVIA CITY SCHOOLS,JOHN KENNEDY INTERMEDIATE SCHOOL,Genesee,Public School,93,No,92,0,0,1,Yes,06/04/2016,92,1,Yes,Yes,08/08/2016,http://Bataviacsd.org,180300010001,166 VINE ST,BATAVIA,NY,14020,01/05/2017,11/09/2016,"(43.000121, -78.172679)","166 VINE ST
BATAVIA, NY 14020
(43.005290434000074, -78.17187471699998)"
BOCES No District Name,BROOME-DELAWARE-TIOGA BOCES,Broome,BOCES School,155,No,0,0,0,155,Yes,09/16/2016,240,7,Yes,Yes,10/06/2016,http://www.BTBOCES.org,039000000000,435 GLENWOOD RD,BINGHAMTON,NY,13905,10/11/2016,01/09/2017,"(42.122015, -75.933191)","435 GLENWOOD RD
BINGHAMTON, NY 13905
(42.129250813000056, -75.93082377499996)"
FAIRPORT CENTRAL SCHOOL,MARTHA BROWN J H S,Monroe,Public School,84,No,67,0,0,0,Yes,04/12/2016,67,17,Yes,Yes,05/09/2016,http://www.fairport.org/departments.cfm?subpage=44359,261301060004,665 AYRAULT RD,FAIRPORT,NY,14450,10/20/2016,10/20/2016,"(43.161748, -77.620143)","665 AYRAULT RD
FAIRPORT, NY 14450
(43.07902209700006, -77.44858062099996)"
GREAT NECK UNION FREE SCHOOL,GREAT NECK NORTH S H S,Nassau,Public School,24,No,22,0,0,0,Yes,05/27/2016,22,2,Yes,Yes,09/21/2016,http://www.greatneck.k12.ny.us,280407030015,35 POLO RD,GREAT NECK,NY,11023,11/10/2016,11/10/2016,"(40.715749, -73.601185)","35 POLO RD GREAT NECK
NY 11023
(40.80018688300004, -73.73940591999997)"
CLIFTON FINE CENTRAL SCHOOL DISTRICT,CLIFTON-FINE JSHS,Saint Lawrence,Public School,52,No,0,0,0,52,Yes,09/27/2016,40,12,Yes,Yes,12/19/2016,http://www.cliftonfine.org/education/school/school.php?sectionid=2,510401040001,MAIN ST,STAR LAKE,NY,13690,12/21/2016,12/21/2016,"(44.689468, -75.242045)","MAIN ST STAR LAKE, NY 13690
(44.15565989600003, -75.03247921599996)"
ALDEN CENTRAL SCHOOL,ALDEN SENIOR HIGH SCHOOL,Erie,Public School,118,No,0,0,0,106,Yes,09/29/2016,106,12,Yes,Yes,10/26/2016,http://www.aldenschools.org/departments.cfm?subpage=2109782,140101060006,13190 PARK STREET,ALDEN,NY,14004,11/02/2016,11/02/2016,"(42.888143, -78.795544)","13190 PARK STREET
ALDEN, NY 14004
(42.902972961000046, -78.49547328099999)"
GLENS FALLS CITY SCHOOLS,GLENS FALLS HS,Warren,Public School,208,No,0,0,0,208,Yes,10/20/2016,147,61,Yes,Yes,11/18/2016,http://www.gfsd.org,630300010007,10 QUADE ST,GLENS FALLS,NY,12801,11/21/2016,11/21/2016,"(43.403024, -73.716044)","10 QUADE ST GLENS FALLS
NY 12801
(43.30954951600006, -73.65937571299997)"
CHAPPAQUA CENTRAL SCHOOL,HORACE GREELEY H S,Westchester,Public School,210,No,0,0,0,210,Yes,10/08/2016,172,38,Yes,Yes,10/19/2016,http://www.ccsd.ws/files/filesystem/ChappaquaExceedanceTables.pdf,661004060004,70 ROARING BROOK RD,CHAPPAQUA,NY,10514,11/02/2016,11/02/2016,"(41.039278, -73.805386)","70 ROARING BROOK RD
CHAPPAQUA, NY 10514
(41.17638675300003, -73.75445298499994)"
FARMINGDALE UNION FREE SCHOOL,FARMINGDALE HIGH SCHOOL,Nassau,Public School,28,No,28,0,0,0,Yes,07/15/2016,28,0,Yes,Yes,07/15/2016,http://www.farmingdaleschools.org,280522030009,150 LINCOLN ST,FARMINGDALE,NY,11735,12/13/2016,12/13/2016,"(40.715749, -73.601185)","150 LINCOLN ST
FARMINGDALE, NY 11735
(40.70880321100003, -73.44449208799995)"
ARLINGTON CENTRAL SCHOOL DISTRICT,TRAVER ROAD PRIMARY SCHOOL,Dutchess,Public School,56,No,0,0,0,56,Yes,09/21/2016,53,3,Yes,Yes,10/21/2016,http://www.arlingtonschools.org,131601060005,801 TRAVER RD,PLEASANT VALLEY,NY,12569,10/31/2016,10/31/2016,"(41.686216, -73.840468)","801 TRAVER RD PLEASANT VALLEY
NY 12569
(41.746512850000045, -73.81477515899996)"
AUBURN CITY SCHOOLS,OWASCO ES,Cayuga,Public School,36,No,36,0,0,0,Yes,06/22/2016,36,0,No,Yes,07/27/2016,http://district.auburn.cnyric.org,050100010007,66 LETCHWORTH ST,AUBURN,NY,13021,10/26/2016,10/26/2016,"(42.940095, -76.560755)","66 LETCHWORTH ST
AUBURN, NY 13021
(42.91683341800007, -76.54152847899996)"
EAST MEADOW UNION FREE SCHOOL,BOWLING GREEN SCHOOL,Nassau,Public School,78,No,69,0,0,0,Yes,08/05/2016,69,9,Yes,Yes,09/20/2016,http://eastmeadow.k12.ny.us,280203030002,2340 STEWART AVE,WESTBURY,NY,11590,11/10/2016,11/10/2016,"(40.715749, -73.601185)","2340 STEWART AVE
WESTBURY, NY 11590
(40.744969549000075, -73.55941658999996)"
ELMIRA HEIGHTS CENTRAL SCHOOL DISTRICT,THOMAS EDISON HS,Chemung,Public School,78,No,0,0,0,78,Yes,10/05/2016,,,No,No,,http://heightsschoos.com,070902060002,COLLEGE AVE,ELMIRA HEIGHTS,NY,14903,11/29/2016,,"(42.116644, -76.812331)","COLLEGE AVE ELMIRA HEIGHTS, NY 14903
(42.125411040000074, -76.82120121799994)"
CARLE PLACE UNION FREE SCHOOL,CARLE PLACE J S H S,Nassau,Public School,222,No,28,0,0,190,Yes,10/14/2016,153,69,Yes,Yes,12/20/2016,http://www.cps.k12.ny.us,280411030003,168 CHERRY LN,CARLE PLACE,NY,11514,12/22/2016,12/22/2016,"(40.715749, -73.601185)","168 CHERRY LN CARLE PLACE
NY 11514
(40.75400610600008, -73.60525648599997)"
AFTON CENTRAL SCHOOL DISTRICT,AFTON JSHS,Chenango,Public School,61,No,61,0,0,1,Yes,04/22/2016,61,0,Yes,Yes,04/22/2016,http://www.aftoncsd.org,080101040003,29 ACADEMY ST,AFTON,NY,13730,01/20/2017,12/07/2016,"(42.481798, -75.570013)","29 ACADEMY ST
AFTON, NY 13730
(42.230119598000044, -75.52730784199997)"
CARMEL CENTRAL SCHOOL,KENT ELEMENTARY SCHOOL,Putnam,Public School,104,No,0,0,0,104,Yes,09/17/2016,91,13,Yes,Yes,10/12/2016,http://www.carmelschools.org,480102060002,1091 ROUTE 52,CARMEL,NY,10512,10/25/2016,10/25/2016,"(41.41131, -73.717443)","1091 ROUTE
CARMEL, NY 10512
(41.457491995000055, -73.65767408999994)"
BEACON CITY SCHOOLS,J V FORRESTAL ES,Dutchess,Public School,,No,,,,,No,,,,No,No,,,130200010001,125 LIBERTY ST,BEACON,NY,12508,,,"(41.686216, -73.840468)","125 LIBERTY ST
BEACON, NY 12508
(41.50554807700007, -73.95639916099998)"
CROTON HARMON U F S,PIERRE VAN CORTLANDT SCHOOL,Westchester,Public School,,No,,,,,No,,,,No,No,,,660202030002,3 GLEN PLACE,CROTON,NY,10520,,,"(41.039278, -73.805386)","3 GLEN PLACE
CROTON, NY 10520
(41.203766038000026, -73.88359754599998)"
DOLGEVILLE CTR,DOLGEVILLE ELEMENTARY SCHOOL,Herkimer,Public School,96,No,0,0,0,96,Yes,09/28/2016,90,6,Yes,Yes,09/28/2016,http://www.dolgeville.org,211003040001,38 SLAWSON ST,DOLGEVILLE,NY,13329,11/08/2016,11/08/2016,"(43.070026, -74.994246)","38 SLAWSON ST
DOLGEVILLE, NY 13329
(43.10200635100006, -74.77590266799996)"
COOPERSTOWN CENTRAL SCHOOL,COOPERSTOWN ELEM SCHOOL,Otsego,Public School,144,No,0,0,0,144,Yes,09/26/2016,134,16,Yes,Yes,12/02/2016,http://www.cooperstowncs.org,471701040001,21 WALNUT ST,COOPERSTOWN,NY,13326,11/09/2016,12/13/2016,"(42.564852, -75.060334)","21 WALNUT ST
COOPERSTOWN, NY 13326
(42.69258239900006, -74.93225975199994)"
CHEEKTOWAGA-MARYVALE UNION FREE SCHOOL,MARYVALE INTERMEDIATE SCHOOL,Erie,Public School,57,No,0,0,0,57,Yes,09/24/2016,46,11,Yes,Yes,10/05/2016,http://www.maryvaleufsd.org,140702030004,1050 MARYVALE DR,CHEEKTOWAGA,NY,14225,10/26/2016,10/25/2016,"(42.888143, -78.795544)","1050 MARYVALE DR
CHEEKTOWAGA, NY 14225
(42.933246464000035, -78.74992116599998)"
BEEKMANTOWN CENTRAL SCHOOL,BEEKMANTOWN ELEM SCHOOL,Clinton,Public School,98,No,0,0,0,98,Yes,09/21/2016,98,0,Yes,Yes,10/19/2016,http://www.bcsdk12.org,090301060001,37 EAGLE WAY,WEST CHAZY,NY,12992,11/09/2016,11/09/2016,"(44.731944, -73.548883)","37 EAGLE WAY WEST
CHAZY, NY 12992
(44.77450106600003, -73.49076536099994)"
EAST HAMPTON UNION FREE SCHOOL,JOHN M MARSHALL ELEM SCHOOL,Suffolk,Public School,108,No,0,0,0,108,Yes,10/21/2016,,,No,No,,http://EHUFSD.ORG,580301020001,3 GINGERBREAD LANE,EAST HAMPTON,NY,11937,11/16/2016,,"(40.820237, -73.119032)","3 GINGERBREAD LANE EAST
HAMPTON, NY 11937
(40.96291239800007, -72.19540064699999)"
BROOKFIELD CENTRAL SCHOOL,BROOKFIELD CENTRAL SCHOOL,Madison,Public School,64,No,63,0,0,0,Yes,06/08/2016,63,1,Yes,Yes,07/05/2016,http://www.brookfieldcsd.org,250109040001,1910 FAIRGROUND RD,BROOKFIELD,NY,13314,10/25/2016,10/25/2016,"(42.986917, -75.720031)","1910 FAIRGROUND RD
BROOKFIELD, NY 13314
(42.81544984300007, -75.31492270399997)"
DUNKIRK CITY SCHOOL DISTRICT,DUNKIRK SHS,Chautauqua,Public School,107,No,0,0,0,107,Yes,10/27/2016,105,1,Yes,Yes,11/11/2016,http://www.dunkirkcsd.org,060800010009,75 W SIXTH ST,DUNKIRK,NY,14048,11/04/2016,01/06/2017,"(42.246904, -79.315313)","75 W SIXTH ST
DUNKIRK, NY 14048
(42.47856243500007, -79.33978612699997)"
CORNING PAINTED POST AREA SCHOOL DISTRICT,ERWIN VALLEY ELEM SCHOOL,Steuben,Public School,56,No,0,0,0,56,Yes,10/19/2016,56,0,No,Yes,12/31/2016,http://www.corningareaschools.com,571000010005,R D 1,PAINTED POST,NY,14870,11/03/2016,01/03/2017,"(42.270053, -77.324618)","1 PAINTED
POST, NY 14870
(42.160445208000056, -77.08779239899997)"
CONNETQUOT CENT SCH OF ISLIP,JOHN PEARL ELEM SCHOOL,Suffolk,Public School,33,No,31,0,0,0,Yes,06/23/2016,31,2,Yes,Yes,09/21/2016,http://www.ccsdli.org/departments/plant_and_facilities,580507060003,SMITHTOWN AVE,BOHEMIA,NY,11716,11/10/2016,11/10/2016,"(40.820237, -73.119032)","SMITHTOWN AVE BOHEMIA, NY 11716
(40.77761407300005, -73.10307122899997)"
BETHLEHEM CENTRAL SCHOOL DISTRICT,ELSMERE ES,Albany,Public School,69,No,0,0,0,66,Yes,09/17/2016,66,3,Yes,Yes,10/13/2016,http://www.bethlehemschools.org/bcsd-results-school-water-testing/,010306060003,247 DELAWARE AVE,DELMAR,NY,12054,10/14/2016,10/14/2016,"(42.678066, -73.814233)","247 DELAWARE AVE
DELMAR, NY 12054
(42.62676617400007, -73.82041018199999)"
BROADALBIN-PERTH CENTRAL SCHOOLS,BROADALBIN-PERTH MIDDLE SCHOOL,Fulton,Public School,54,No,0,0,0,54,Yes,10/06/2016,39,15,Yes,Yes,10/28/2016,http://www.bpcsd.org,171102040003,1870 CO HWY 107,AMSTERDAM,NY,12010,11/15/2016,11/15/2016,"(43.06014, -74.331296)","1870 CO HWY
AMSTERDAM, NY 12010
(42.943447555000034, -74.19085371299997)"
BEACON CITY SCHOOLS,ROMBOUT SCHOOL,Dutchess,Public School,,No,,,,,No,,,,No,No,,,130200010004,84 MATTEAWAN RD,BEACON,NY,12508,,,"(41.686216, -73.840468)","84 MATTEAWAN RD
BEACON, NY 12508
(41.51221493000003, -73.96468843699995)"
AMSTERDAM CITY SCHOOLS,MARIE CURIE INSTITUTE OF ENGINEERING & COMMUNICATIONS,Montgomery,Public School,60,No,27,0,0,15,Yes,09/24/2016,30,60,Yes,Yes,10/13/2016,http://www.gasd.org,270100010019,9 BRICE ST,AMSTERDAM,NY,12010,11/07/2016,11/07/2016,"(42.933637, -74.341972)","9 BRICE ST
AMSTERDAM, NY 12010
(42.94011961600006, -74.16811486499995)"
GREECE CENTRAL SCHOOL,PINE BROOK ELEM SCHOOL,Monroe,Public School,104,No,99,0,0,10,Yes,04/27/2016,104,0,Yes,Yes,01/17/2017,http://www.greececsd.org/,260501060024,2300 ENGLISH RD,ROCHESTER,NY,14616,10/20/2016,01/20/2017,"(43.161748, -77.620143)","2300 ENGLISH RD
ROCHESTER, NY 14616
(43.238687396000046, -77.71086067499994)"
GRANVILLE CENTRAL SCHOOL,QUAKER ST ELEM SCHOOL,Washington,Public School,65,No,0,0,0,65,Yes,09/24/2016,60,5,Yes,Yes,10/07/2016,http://www.granvillecsd.org,640701040004,61 QUAKER ST,GRANVILLE,NY,12832,11/04/2016,11/04/2016,"(43.289513, -73.454761)","61 QUAKER ST
GRANVILLE, NY 12832
(43.401170956000044, -73.26585889399996)"
GATES CHILI CENTRAL SCHOOL,FLORENCE BRASSER SCHOOL,Monroe,Public School,46,No,46,0,0,0,Yes,04/18/2016,46,11,Yes,Yes,04/22/2016,http://gateschili.org,260401060002,1000 COLDWATER RD,ROCHESTER,NY,14624,12/02/2016,11/19/2016,"(43.161748, -77.620143)","1000 COLDWATER RD
ROCHESTER, NY 14624
(43.13427619300006, -77.73593662099995)"
BALDWINSVILLE CENTRAL SCHOOL,L PEARL PALMER ELEM SCHOOL,Onondaga,Public School,53,No,53,0,0,53,Yes,09/27/2016,53,0,No,Yes,01/04/2017,http://www.bville.org,420901060004,HICKS RD,BALDWINSVILLE,NY,13027,01/10/2017,01/10/2017,"(43.065629, -76.168033)","HICKS RD BALDWINSVILLE, NY 13027
(43.13338274400007, -76.30891469999995)"
BOCES No District Name,EASTERN SUFFOLK BOCES,Suffolk,BOCES School,261,No,235,0,0,0,Yes,08/25/2016,235,26,Yes,Yes,08/31/2016,http://www.esboces.org,589100000000,201 SUNRISE HIGHWAY,PATCHOGUE,NY,11772,11/12/2016,11/12/2016,"(40.820237, -73.119032)","201 SUNRISE HIGHWAY
PATCHOGUE, NY 11772
(40.780647876000046, -72.99744230499994)"
ELMIRA HEIGHTS CENTRAL SCHOOL DISTRICT,COHEN ELEMENTARY SCHOOL,Chemung,Public School,89,No,28,0,0,61,Yes,09/22/2016,73,2,Yes,Yes,12/22/2016,http://heightsschools.com,070902060006,100 ROBINWOOD AVE,ELMIRA HEIGHTS,NY,14903,11/29/2016,12/23/2016,"(42.116644, -76.812331)","100 ROBINWOOD AVE ELMIRA HEIGHTS
NY 14903
(42.122963638000044, -76.83054824799996)"
GENERAL BROWN CENTRAL SCHOOL,DEXTER ELEM SCHOOL,Jefferson,Public School,86,No,0,0,0,86,Yes,11/22/2016,45,41,Yes,Yes,12/28/2016,http://www.gblions.org/,220401040003,415 E. GROVE ST,DEXTER,NY,13634,12/29/2016,12/29/2016,"(44.019295, -75.898971)","415 E GROVE ST
DEXTER, NY 13634
(44.01004693700003, -76.03736404699998)"
CHAZY UNION FREE SCHOOL,CHAZY CENTRAL RURAL JSHS,Clinton,Public School,123,No,0,0,0,123,Yes,09/24/2016,28,2,Yes,Yes,11/15/2016,http://www.chazy.org,090601020002,609 MINER FARM RD,CHAZY,NY,12921,11/10/2016,11/15/2016,"(44.731944, -73.548883)","609 MINER FARM RD
CHAZY, NY 12921
(44.88787215600007, -73.43263627899995)"
BINGHAMTON CITY SCHOOL DISTRICT,BENJAMIN FRANKLIN ES,Broome,Public School,25,No,23,0,0,0,Yes,03/18/2016,23,2,Yes,Yes,03/21/2016,http://www.binghamtonschools.org/WaterTesting.aspx,030200010005,262 CONKLIN AVE,BINGHAMTON,NY,13903,12/15/2016,12/15/2016,"(42.122015, -75.933191)","262 CONKLIN AVE
BINGHAMTON, NY 13903
(42.095621669000025, -75.89116648999999)"
CATTARAUGUS-LITTLE VALLEY CSD,CATTARAUGUS-LITTLE VALLEY MS,Cattaraugus,Public School,34,No,0,0,0,34,Yes,09/24/2016,32,2,Yes,Yes,11/09/2016,http://www.cattlv.wnyric.org,042302040004,25 FRANKLIN ST N,CATTARAUGUS,NY,14719,11/14/2016,11/15/2016,"(42.224267, -78.606673)","25 FRANKLIN ST N
CATTARAUGUS, NY 14719
(42.334287182000025, -78.86183970199994)"
BOCES No District Name,BOCES ERIE 2 CHAU-CATT,Erie,BOCES School,,No,,,,,No,,,,No,No,,,149200000000,8685 ERIE RD,ANGOLA,NY,14006,,,"(42.888143, -78.795544)","8685 ERIE RD
ANGOLA, NY 14006
(42.64841216700006, -79.04183258299997)"
EAST RAMAPO CENTRAL SCHOOL,RAMAPO S H S,Rockland,Public School,188,No,0,100,0,20,Yes,11/09/2016,100,73,Yes,Yes,11/09/2016,http://www.ercsd.org,500402060018,400 VIOLA RD,SPRING VALLEY,NY,10977,12/02/2016,12/03/2016,"(41.127287, -74.017033)","400 VIOLA RD SPRING VALLEY
NY 10977
(41.13432857600003, -74.06047598599997)"
BROADALBIN-PERTH CENTRAL SCHOOLS,PERTH INTERMEDIATE,Fulton,Public School,52,No,0,0,0,52,Yes,09/19/2016,38,14,Yes,Yes,10/20/2016,http://www.bpcsd.org,171102040001,RD 4,AMSTERDAM,NY,12025,11/10/2016,11/10/2016,"(43.06014, -74.331296)","4 AMSTERDAM
NY 12025
(43.057222642000056, -74.19515644299997)"
